file_id,n_ref_notes,n_est_notes,frame_f1_0.3,frame_f1_0.5,frame_f1_0.7,onset_p@0.5,onset_r@0.5,onset_f1@0.5,note_p,note_r,note_f1,best_onset_thr,best_frame_thr
05_Jazz3-137-Eb_solo,77,75,0.6478,0.6387,0.6205,0.0000,0.0000,0.0000,0.9733,0.9481,0.9605,0.25,0.35
05_Jazz3-150-C_comp,227,196,0.6167,0.5560,0.3951,0.0000,0.0000,0.0000,0.6990,0.6035,0.6478,0.20,0.25
05_Jazz3-150-C_solo,69,65,0.6468,0.6573,0.6176,0.0000,0.0000,0.0000,0.8923,0.8406,0.8657,0.30,0.25
05_Rock1-130-A_comp,312,292,0.8722,0.8781,0.8204,0.0000,0.0000,0.0000,0.9075,0.8494,0.8775,0.15,0.55
05_Rock1-130-A_solo,60,59,0.7418,0.7561,0.7215,0.0000,0.0000,0.0000,0.9322,0.9167,0.9244,0.20,0.30
05_Rock1-90-C#_comp,277,205,0.8973,0.8603,0.7890,0.0000,0.0000,0.0000,0.9512,0.7040,0.8091,0.20,0.50
05_Rock1-90-C#_solo,99,108,0.5474,0.5366,0.4996,0.0000,0.0000,0.0000,0.8519,0.9293,0.8889,0.20,0.20
05_Rock2-142-D_comp,460,417,0.7836,0.6985,0.5523,0.0000,0.0000,0.0000,0.8034,0.7283,0.7640,0.15,0.20
05_Rock2-142-D_solo,86,76,0.6021,0.5848,0.5543,0.0000,0.0000,0.0000,0.9737,0.8605,0.9136,0.20,0.50
05_Rock2-85-F_comp,325,243,0.7126,0.6800,0.5916,0.0000,0.0000,0.0000,0.7984,0.5969,0.6831,0.15,0.70
05_Rock2-85-F_solo,125,120,0.4218,0.4092,0.3667,0.0000,0.0000,0.0000,0.9417,0.9040,0.9224,0.20,0.30
05_Rock3-117-Bb_comp,398,391,0.7835,0.7462,0.6765,0.0000,0.0000,0.0000,0.8312,0.8166,0.8238,0.15,0.30
05_Rock3-117-Bb_solo,70,65,0.7328,0.7368,0.7217,0.0000,0.0000,0.0000,1.0000,0.9286,0.9630,0.25,0.55
05_Rock3-148-C_comp,249,265,0.5949,0.7442,0.8002,0.0000,0.0000,0.0000,0.8038,0.8554,0.8288,0.20,0.70
05_Rock3-148-C_solo,61,61,0.6818,0.7102,0.6679,0.0000,0.0000,0.0000,0.9344,0.9344,0.9344,0.20,0.30
05_SS1-100-C#_comp,102,101,0.7758,0.8320,0.8278,0.0000,0.0000,0.0000,0.9307,0.9216,0.9261,0.30,0.70
05_SS1-100-C#_solo,60,56,0.5923,0.5953,0.5902,0.0000,0.0000,0.0000,0.9286,0.8667,0.8966,0.25,0.40
05_SS1-68-E_comp,143,135,0.8162,0.8214,0.7849,0.0000,0.0000,0.0000,0.9037,0.8531,0.8777,0.25,0.45
05_SS1-68-E_solo,78,76,0.4900,0.4888,0.4578,0.0000,0.0000,0.0000,0.8289,0.8077,0.8182,0.25,0.45
05_SS2-107-Ab_comp,222,210,0.7251,0.6916,0.6120,0.0000,0.0000,0.0000,0.8762,0.8288,0.8519,0.25,0.35
05_SS2-107-Ab_solo,87,80,0.6305,0.6314,0.6100,0.0000,0.0000,0.0000,0.9375,0.8621,0.8982,0.25,0.25
05_SS2-88-F_comp,196,198,0.7655,0.7918,0.7581,0.0000,0.0000,0.0000,0.8788,0.8878,0.8832,0.25,0.70
05_SS2-88-F_solo,93,91,0.6052,0.5932,0.5419,0.0000,0.0000,0.0000,0.9780,0.9570,0.9674,0.25,0.25
05_SS3-84-Bb_comp,211,227,0.6389,0.6729,0.6672,0.0000,0.0000,0.0000,0.8899,0.9573,0.9224,0.25,0.65
05_SS3-84-Bb_solo,111,113,0.5431,0.5377,0.4929,0.0000,0.0000,0.0000,0.9204,0.9369,0.9286,0.25,0.30
05_SS3-98-C_comp,199,181,0.7984,0.7955,0.7507,0.0000,0.0000,0.0000,0.9171,0.8342,0.8737,0.25,0.60
05_SS3-98-C_solo,93,92,0.6086,0.6135,0.5635,0.0000,0.0000,0.0000,0.9457,0.9355,0.9405,0.25,0.25
